City,State,Location
Hialeah,Florida,25.8699°N 80.3029°W
Reno,Nevada,39.4745°N 119.7765°W
Baton Rouge,Louisiana,30.4485°N 91.1259°W
Irvine,California,33.6784°N 117.7713°W
Chesapeake,Virginia,36.6794°N 76.3018°W
Irving,Texas,32.8577°N 96.9700°W
Scottsdale,Arizona,33.6687°N 111.8237°W
North Las Vegas,Nevada,36.2830°N 115.0893°W
Fremont,California,37.4944°N 121.9411°W
Gilbert,Arizona,33.3102°N 111.7422°W
San Bernardino,California,34.1393°N 117.2953°W
Boise[,Idaho,43.5985°N 116.2311°W
Birmingham,Alabama,33.5274°N 86.7990°W
Rochester,New York,43.1699°N 77.6169°W
Richmond,Virginia,37.5314°N 77.4760°W
Spokane,Washington,47.6736°N 117.4166°W
Des Moines,Iowa,41.5739°N 93.6167°W
Montgomery,Alabama,32.3463°N 86.2686°W
Modesto,California,37.6609°N 120.9891°W
Fayetteville,North Carolina,35.0851°N 78.9803°W
Tacoma,Washington,47.2522°N 122.4598°W
Shreveport,Louisiana,32.4670°N 93.7927°W
Fontana,California,34.1088°N 117.4627°W
Oxnard,California,34.2023°N 119.2046°W
Aurora,Illinois,41.7635°N 88.2901°W
Moreno Valley,California,33.9233°N 117.2057°W
Akron,Ohio,41.0805°N 81.5214°W
Yonkers,New York,40.9459°N 73.8674°W
Columbus,Georgia,32.5102°N 84.8749°W
Augusta,Georgia,33.3655°N 82.0734°W
Little Rock,Arkansas,34.7254°N 92.3586°W
Amarillo,Texas,35.1978°N 101.8287°W
Mobile,Alabama,30.6684°N 88.1002°W
Huntington Beach,California,33.6906°N 118.0093°W
Glendale,California,34.1814°N 118.2458°W
Grand Rapids,Michigan,42.9612°N 85.6556°W
Salt Lake City,Utah,40.7785°N 111.9314°W
Tallahassee,Florida,30.4551°N 84.2534°W
Huntsville,Alabama,34.7843°N 86.5390°W
Worcester,Massachusetts,42.2695°N 71.8078°W
Knoxville,Tennessee,35.9709°N 83.9465°W
Grand Prairie,Texas,32.6842°N 97.0210°W
Newport News,Virginia,37.0760°N 76.5217°W
Brownsville,Texas,26.0183°N 97.4538°W
Santa Clarita,California,34.4049°N 118.5047°W
Overland Park,Kansas,38.8890°N 94.6906°W
Providence,Rhode Island,41.8231°N 71.4188°W
Jackson,Mississippi,32.3158°N 90.2128°W
Garden Grove,California,33.7788°N 117.9605°W
Oceanside,California,33.2246°N 117.3062°W
Chattanooga,Tennessee,35.0665°N 85.2471°W
Fort Lauderdale,Florida,26.1413°N 80.1439°W
Rancho Cucamonga,California,34.1233°N 117.5642°W
Santa Rosa,California,38.4468°N 122.7061°W
Port St. Lucie,Florida,27.2810°N 80.3838°W
Ontario,California,34.0395°N 117.6088°W
Tempe,Arizona,33.3884°N 111.9318°W
Vancouver,Washington,45.6372°N 122.5965°W
Springfield,Missouri,37.1942°N 93.2913°W
Cape Coral,Florida,26.6431°N 81.9973°W
Pembroke Pines,Florida,26.0212°N 80.3404°W
Sioux Falls,South Dakota,43.5383°N 96.7320°W
Peoria,Arizona,33.7877°N 112.3111°W
Lancaster,California,34.6936°N 118.1753°W
Elk Grove,California,38.4144°N 121.3849°W
Corona,California,33.8624°N 117.5639°W
Eugene,Oregon,44.0567°N 123.1162°W
Salem,Oregon,44.9237°N 123.0231°W
Palmdale,California,34.5913°N 118.1090°W
Salinas,California,36.6902°N 121.6337°W
Springfield,Massachusetts,42.1155°N 72.5400°W
Pasadena,Texas,29.6583°N 95.1505°W
Rockford,Illinois,42.2634°N 89.0628°W
Pomona,California,34.0586°N 117.7613°W
Hayward,California,37.6281°N 122.1063°W
Fort Collins,Colorado,40.5482°N 105.0648°W
Joliet,Illinois,41.5181°N 88.1584°W
Escondido,California,33.1336°N 117.0732°W
Kansas City,Kansas,39.1225°N 94.7418°W
Torrance,California,33.8350°N 118.3414°W
Bridgeport,Connecticut,41.1874°N 73.1957°W
Alexandria,Virginia,38.8183°N 77.0820°W
Sunnyvale,California,37.3858°N 122.0263°W
Cary,North Carolina,35.7821°N 78.8141°W
Lakewood,Colorado,39.6989°N 105.1176°W
Hollywood,Florida,26.0311°N 80.1646°W
Paterson,New Jersey,40.9147°N 74.1628°W
Syracuse,New York,43.0410°N 76.1436°W
Naperville,Illinois,41.7492°N 88.1620°W
McKinney,Texas,33.2012°N 96.6680°W
Mesquite,Texas,32.7639°N 96.5924°W
Clarksville,Tennessee,36.5664°N 87.3452°W
Savannah,Georgia,32.0025°N 81.1536°W
Dayton,Ohio,39.7774°N 84.1996°W
Orange,California,33.8048°N 117.8249°W
Fullerton,California,33.8857°N 117.9280°W
Pasadena,California,34.1606°N 118.1396°W
Hampton,Virginia,37.0480°N 76.2971°W
McAllen,Texas,26.2185°N 98.2461°W
Killeen,Texas,31.0777°N 97.7320°W
Warren,Michigan,42.4929°N 83.0250°W
West Valley City,Utah,40.6885°N 112.0118°W
Columbia,South Carolina,34.0298°N 80.8966°W
New Haven,Connecticut,41.3108°N 72.9250°W
Sterling Heights,Michigan,42.5812°N 83.0303°W
Olathe,Kansas,38.8843°N 94.8188°W
Miramar,Florida,25.9770°N 80.3358°W
Thousand Oaks,California,34.1933°N 118.8742°W
Frisco,Texas,33.1510°N 96.8193°W
Cedar Rapids,Iowa,41.9670°N 91.6778°W
Topeka,Kansas,39.0362°N 95.6948°W
Visalia,California,36.3272°N 119.3234°W
Waco,Texas,31.5601°N 97.1860°W
Elizabeth,New Jersey,40.6663°N 74.1935°W
Bellevue,Washington,47.5978°N 122.1565°W
Gainesville,Florida,29.6788°N 82.3459°W
Simi Valley,California,34.2669°N 118.7485°W
Charleston,South Carolina,32.8179°N 79.9589°W
Carrollton,Texas,32.9884°N 96.8998°W
Coral Springs,Florida,26.2708°N 80.2593°W
Stamford,Connecticut,41.0799°N 73.5460°W
Hartford,Connecticut,41.7660°N 72.6833°W
Concord,California,37.9722°N 122.0016°W
Roseville,California,38.7657°N 121.3032°W
Thornton,Colorado,39.9180°N 104.9454°W
Kent,Washington,47.3853°N 122.2169°W
Lafayette,Louisiana,30.2116°N 92.0314°W
Surprise,Arizona,33.6706°N 112.4527°W
Denton,Texas,33.2151°N 97.1417°W
Victorville,California,34.5277°N 117.3536°W
Evansville,Indiana,37.9877°N 87.5347°W
Midland,Texas,32.0299°N 102.1097°W
Santa Clara,California,37.3646°N 121.9679°W
Athens,Georgia,33.9496°N 83.3701°W
Allentown,Pennsylvania,40.5940°N 75.4782°W
Abilene,Texas,32.4545°N 99.7381°W
Beaumont,Texas,30.0843°N 94.1458°W
Vallejo,California,38.1079°N 122.2639°W
Independence,Missouri,39.0853°N 94.3513°W
Springfield,Illinois,39.7639°N 89.6708°W
Ann Arbor,Michigan,42.2756°N 83.7313°W
Provo,Utah,40.2453°N 111.6448°W
Peoria,Illinois,40.7523°N 89.6171°W
Norman,Oklahoma,35.2406°N 97.3453°W
Berkeley,California,37.8667°N 122.2991°W
El Monte,California,34.0746°N 118.0291°W
Murfreesboro,Tennessee,35.8522°N 86.4161°W
Lansing,Michigan,42.7098°N 84.5562°W
Columbia,Missouri,38.9479°N 92.3261°W
Downey,California,33.9382°N 118.1309°W
Costa Mesa,California,33.6659°N 117.9123°W
Inglewood,California,33.9561°N 118.3443°W
Miami Gardens,Florida,25.9489°N 80.2436°W
Elgin,Illinois,42.0396°N 88.3217°W
Wilmington,North Carolina,34.2092°N 77.8858°W
Waterbury,Connecticut,41.5585°N 73.0367°W
Fargo,North Dakota,46.8652°N 96.8290°W
Arvada,Colorado,39.8097°N 105.1066°W
Carlsbad,California,33.1239°N 117.2828°W
Westminster,Colorado,39.8822°N 105.0644°W
Rochester,Minnesota,44.0154°N 92.4772°W
Gresham,Oregon,45.5023°N 122.4416°W
Clearwater,Florida,27.9795°N 82.7663°W
Lowell,Massachusetts,42.6389°N 71.3221°W
West Jordan,Utah,40.6023°N 112.0010°W
Pueblo,Colorado,38.2731°N 104.6124°W
San Buenaventura (Ventura),California,34.2681°N 119.2550°W
Fairfield,California,38.2568°N 122.0397°W
West Covina,California,34.0559°N 117.9099°W
Billings,Montana,45.7895°N 108.5499°W
Murrieta,California,33.5719°N 117.1907°W
High Point,North Carolina,35.9855°N 79.9902°W
Round Rock,Texas,30.5237°N 97.6674°W
Richmond,California,37.9530°N 122.3594°W
Cambridge,Massachusetts,42.3760°N 71.1183°W
Norwalk,California,33.9069°N 118.0834°W
Odessa,Texas,31.8804°N 102.3434°W
Antioch,California,37.9775°N 121.7976°W
Temecula,California,33.5019°N 117.1246°W
Green Bay,Wisconsin,44.5207°N 87.9842°W
Everett,Washington,48.0033°N 122.1742°W
Wichita Falls,Texas,33.9067°N 98.5259°W
Burbank,California,34.1890°N 118.3249°W
Palm Bay,Florida,27.9856°N 80.6626°W
Centennial,Colorado,39.5906°N 104.8691°W
Daly City,California,37.7009°N 122.4650°W
Richardson,Texas,32.9723°N 96.7081°W
Pompano Beach,Florida,26.2426°N 80.1290°W
Broken Arrow,Oklahoma,36.0365°N 95.7810°W
North Charleston,South Carolina,32.8853°N 80.0169°W
West Palm Beach,Florida,26.7483°N 80.1266°W
Boulder,Colorado,40.0175°N 105.2797°W
Rialto,California,34.1118°N 117.3883°W
Santa Maria,California,34.9332°N 120.4438°W
El Cajon,California,32.8017°N 116.9605°W
Davenport,Iowa,41.5541°N 90.6040°W
Erie,Pennsylvania,42.1166°N 80.0735°W
Las Cruces,New Mexico,32.3197°N 106.7653°W
South Bend,Indiana,41.6769°N 86.2690°W
Flint,Michigan,43.0244°N 83.6920°W
Kenosha,Wisconsin,42.5822°N 87.8456°W
Remote,Remote,0,0
